pid,group,train_mean,last_price,gap_pct
W14001,ผลไม้,37.1527244819647,20.0,-46.16814707705019
W14002,ผลไม้,47.56331542594014,30.0,-36.926179911254536
W14003,ผลไม้,59.117421335379895,40.0,-32.33805011034662
W14007,ผลไม้,17.334612432847276,20.0,15.376101297206352
W14009,ผลไม้,26.22409823484267,25.0,-4.6678372841674
W14010,ผลไม้,32.27168073676132,45.0,39.44114149821642
W14011,ผลไม้,22.290867229470454,35.0,57.01497676019968
W14012,ผลไม้,17.032233307751344,15.0,-11.931690172576943
W14013,ผลไม้,26.906369915579432,22.0,-18.2349753273054
W14014,ผลไม้,18.653875671527246,28.0,50.102855262075195
W14016,ผลไม้,13.924788948580199,15.0,7.721560846560852
W14019,ผลไม้,35.462778204144286,40.0,12.79432132963988
W14020,ผลไม้,77.09900230237912,100.0,29.70336452319332
W14021,ผลไม้,108.12739831158864,130.0,20.228547093477186
W14022,ผลไม้,34.26861089792786,40.0,16.724894741556934
W14024,ผลไม้,61.95702225633154,72.0,16.209587513935343
W14025,ผลไม้,50.441289332310056,60.0,18.950171167744383
W14026,ผลไม้,45.721412125863395,45.0,-1.57784305497273
W14027,ผลไม้,34.66615502686109,25.0,-27.883551029444323
W14030,ผลไม้,38.411358403683806,40.0,4.135864135864137
W14032,ผลไม้,40.042210283960095,35.0,-12.592237661715387
W14033,ผลไม้,27.366078280890253,20.0,-26.916820909753774
W14034,ผลไม้,77.68227168073676,90.0,15.856550088915233
W14035,ผลไม้,66.95318495778972,70.0,4.550664832645575
W14036,ผลไม้,32.60552570990023,40.0,22.678592444392148
W15001,พืชอาหาร,66.2279355333845,150.0,126.49052668173127
W15002,พืชอาหาร,60.43438219493476,135.0,123.38277499809517
W15003,พืชอาหาร,53.97390636991558,125.0,131.59339096803546
W15007,พืชอาหาร,64.44512663085187,150.0,132.75615681417617
W15008,พืชอาหาร,62.46354566385265,130.0,108.12139083425484
W15009,พืชอาหาร,68.03914044512663,125.0,83.71778241497941
W15010,พืชอาหาร,52.19109746738296,78.0,49.45077567825896
W15011,พืชอาหาร,46.020721412125866,68.0,47.759526390394385
W15012,พืชอาหาร,38.669992325402916,53.0,37.0571774465636
W15013,พืชอาหาร,58.70299309286263,83.0,41.38972414694731
W15014,พืชอาหาร,51.47659247889486,73.0,41.81202850582938
W15015,พืชอาหาร,44.57405986185725,53.0,18.903236914600555
W15016,พืชอาหาร,33.46124328472755,70.0,109.19724770642202
W15017,พืชอาหาร,27.612432847275517,60.0,117.29342116234471
W15018,พืชอาหาร,22.241749808135072,45.0,102.32221110382665
W15019,พืชอาหาร,39.025326170376054,75.0,92.18289085545723
W15020,พืชอาหาร,32.224865694551035,65.0,101.70759008311701
W15021,พืชอาหาร,25.60245587106677,45.0,75.76438848920863
W15030,พืชอาหาร,24.454336147352265,30.0,22.677629927190555
W15031,พืชอาหาร,22.028396009209516,28.0,27.108664599519216
W15032,พืชอาหาร,19.379125095932462,25.0,29.00479188943013
W15033,พืชอาหาร,55.40598618572525,45.0,-18.78133916946006
W15034,พืชอาหาร,25.65310821181888,25.0,-2.5459223359061767
W15035,พืชอาหาร,175.32617037605525,370.0,111.03523746990591
W15041,พืชอาหาร,207.76669224865694,200.0,-3.738179669030729
W15042,พืชอาหาร,157.10667689946277,160.0,1.8416296223926587
W16001,พืชไร่,6.942087490406754,8.58,23.59394795667256
W16002,พืชไร่,6.930867229470454,8.64,24.659724590628624
